iter	Passed	Remaining
0	198	397421
1	279	278800
2	375	249785
3	458	228904
4	539	215075
5	626	208314
6	714	203483
7	814	202744
8	921	203783
9	1012	201458
10	1127	203862
11	1211	200627
12	1294	197784
13	1385	196491
14	1465	193912
15	1543	191368
16	1624	189442
17	1704	187717
18	1785	186200
19	1865	184719
20	1949	183709
21	2042	183623
22	2126	182791
23	2221	182890
24	2305	182169
25	2392	181623
26	2472	180696
27	2551	179705
28	2631	178875
29	2711	178026
30	2789	177155
31	2872	176638
32	2956	176230
33	3037	175615
34	3120	175186
35	3195	174349
36	3276	173806
37	3375	174279
38	3487	175358
39	3582	175523
40	3666	175181
41	3759	175276
42	3847	175096
43	3928	174640
44	4007	174123
45	4105	174387
46	4203	174651
47	4296	174741
48	4380	174416
49	4467	174246
50	4560	174266
51	4636	173697
52	4727	173686
53	4848	174737
54	4950	175055
55	5045	175142
56	5141	175277
57	5216	174657
58	5310	174696
59	5417	175151
60	5526	175665
61	5636	176193
62	5717	175790
63	5817	175973
64	5918	176192
65	6020	176406
66	6099	175967
67	6185	175741
68	6315	176754
69	6435	177424
70	6523	177234
71	6605	176889
72	6692	176667
73	6788	176674
74	6885	176727
75	6967	176394
76	7059	176309
77	7150	176185
78	7234	175905
79	7321	175725
80	7414	175661
81	7502	175490
82	7588	175256
83	7682	175240
84	7786	175426
85	7876	175297
86	7976	175381
87	8064	175213
88	8149	174995
89	8228	174629
90	8320	174547
91	8404	174296
92	8492	174141
93	8593	174253
94	8687	174212
95	8769	173934
96	8860	173822
97	8953	173768
98	9048	173744
99	9155	173946
100	9238	173709
101	9319	173413
102	9409	173300
103	9523	173623
104	9618	173595
105	9702	173359
106	9787	173164
107	9874	172985
108	9957	172744
109	10039	172491
110	10124	172301
111	10216	172219
112	10297	171963
113	10383	171788
114	10464	171522
115	10551	171375
116	10671	171754
117	10759	171606
118	10844	171413
119	10924	171155
120	11023	171183
121	11125	171262
122	11216	171171
123	11389	172305
124	11510	172656
125	11622	172862
126	11732	173034
127	11830	173025
128	11954	173392
129	12065	173550
130	12186	173859
131	12302	174101
132	12404	174130
133	12531	174500
134	12650	174771
135	12742	174652
136	12865	174956
137	12970	175008
138	13107	175490
139	13214	175560
140	13331	175766
141	13439	175844
142	13552	175987
143	13667	176159
144	13761	176049
145	13876	176216
146	13992	176387
147	14106	176522
148	14207	176496
149	14312	176520
150	14416	176534
151	14541	176793
152	14660	176978
153	14758	176905
154	14868	176987
155	14995	177255
156	15099	177247
157	15203	177246
158	15320	177386
159	15412	177240
160	15510	177170
161	15612	177136
162	15707	177028
163	15805	176947
164	15903	176868
165	16005	176826
166	16112	176852
167	16219	176872
168	16312	176739
169	16399	176540
170	16479	176267
171	16568	176087
172	16668	176025
173	16756	175851
174	16854	175772
175	16946	175627
176	17039	175501
177	17124	175285
178	17218	175169
179	17305	174973
180	17389	174758
181	17477	174581
182	17559	174346
183	17653	174235
184	17744	174091
185	17835	173944
186	17923	173768
187	18011	173601
188	18098	173422
189	18186	173251
190	18281	173147
191	18370	172990
192	18479	173015
193	18565	172830
194	18649	172631
195	18736	172456
196	18822	172268
197	18916	172159
198	19014	172087
199	19102	171926
200	19210	171939
201	19320	171972
202	19419	171906
203	19507	171738
204	19616	171768
205	19722	171760
206	19815	171641
207	19907	171513
208	20002	171406
209	20112	171437
210	20212	171375
211	20297	171185
212	20392	171082
213	20651	172352
214	20893	173467
215	21098	174256
216	21341	175352
217	21493	175692
218	21629	175903
219	21825	176586
220	21936	176585
221	22119	177155
222	22417	178634
223	22540	178712
224	22712	179178
225	22859	179433
226	23012	179737
227	23143	179873
228	23256	179855
229	23390	180008
230	23531	180204
231	23665	180344
232	23804	180528
233	23938	180666
234	24076	180828
235	24356	182056
236	24492	182195
237	24651	182506
238	24816	182852
239	24964	183070
240	25129	183412
241	25268	183558
242	25377	183487
243	25545	183841
244	25700	184102
245	25796	183927
246	25894	183774
247	25992	183625
248	26144	183852
249	26390	184736
250	26518	184784
251	26659	184920
252	26822	185216
253	26978	185450
254	27182	186015
255	27418	186788
256	27564	186946
257	27684	186925
258	27823	187032
259	27966	187162
260	28112	187311
261	28241	187343
262	28394	187532
263	28539	187671
264	28692	187852
265	28824	187900
266	28962	187986
267	29122	188208
268	29275	188388
269	29445	188670
270	29581	188734
271	29699	188680
272	29812	188596
273	29933	188561
274	30061	188567
275	30209	188699
276	30412	189174
277	30586	189460
278	30723	189515
279	30879	189687
280	31004	189666
281	31141	189719
282	31308	189951
283	31460	190090
284	31606	190193
285	31743	190240
286	31869	190215
287	32003	190244
288	32145	190317
289	32260	190224
290	32370	190105
291	32477	189969
292	32675	190365
293	32833	190522
294	32953	190458
295	33113	190624
296	33304	190970
297	33507	191377
298	33639	191373
299	33788	191465
300	33916	191442
301	34050	191449
302	34271	191944
303	34514	192552
304	34679	192725
305	34861	192989
306	35006	193047
307	35238	193583
308	35463	194075
309	35647	194337
310	35850	194700
311	36055	195069
312	36238	195315
313	36382	195355
314	36515	195328
315	36656	195344
316	36853	195661
317	37002	195719
318	37166	195851
319	37290	195775
320	37428	195769
321	37558	195725
322	37689	195682
323	37803	195550
324	37939	195534
325	38054	195409
326	38166	195267
327	38278	195128
328	38398	195028
329	38513	194901
330	38614	194706
331	38762	194748
332	38876	194614
333	38992	194495
334	39122	194446
335	39265	194458
336	39428	194569
337	39605	194747
338	39744	194734
339	39877	194694
340	40173	195448
341	40299	195368
342	40455	195435
343	40649	195685
344	40796	195703
345	41034	196159
346	41365	197050
347	41576	197370
348	41716	197348
349	41895	197505
350	42062	197611
351	42239	197757
352	42410	197874
353	42568	197930
354	42725	197981
355	42937	198282
356	43147	198573
357	43307	198632
358	43445	198591
359	43605	198646
360	43736	198571
361	43883	198565
362	44023	198529
363	44186	198595
364	44375	198777
365	44601	199123
366	44796	199326
367	44926	199239
368	45077	199244
369	45253	199358
370	45494	199758
371	45679	199909
372	45880	200128
373	46071	200301
374	46249	200415
375	46439	200578
376	46578	200522
