iter	MAE
0	7643.357534
1	7346.180495
2	7072.156876
3	6811.308387
4	6561.520137
5	6328.855253
6	6110.527983
7	5905.49247
8	5713.95061
9	5528.083925
10	5351.033736
11	5171.318389
12	5008.559158
13	4850.544548
14	4704.647818
15	4568.042217
16	4435.953468
17	4314.65342
18	4186.732518
19	4084.243465
20	3978.231831
21	3889.716759
22	3803.049674
23	3716.824937
24	3618.555827
25	3524.942835
26	3432.028138
27	3357.811247
28	3286.790946
29	3220.973454
30	3148.135624
31	3079.862579
32	3016.337871
33	2956.973401
34	2905.825258
35	2860.803307
36	2820.691777
37	2784.544951
38	2741.462743
39	2705.243813
40	2666.365775
41	2630.065272
42	2603.772499
43	2578.027741
44	2546.661088
45	2519.861079
46	2494.638386
47	2474.796182
48	2451.907801
49	2434.948591
50	2418.502399
51	2396.252134
52	2377.253883
53	2363.218408
54	2344.147071
55	2327.03142
56	2313.462779
57	2299.151157
58	2284.856011
59	2272.471961
60	2262.254199
61	2250.48001
62	2240.022938
63	2228.265094
64	2221.01648
65	2210.5987
66	2200.190173
67	2192.125585
68	2185.412316
69	2178.191532
70	2170.130116
71	2162.385314
72	2154.909378
73	2149.900946
74	2137.135735
75	2130.449563
76	2121.746841
77	2110.330716
78	2100.620268
79	2094.468314
80	2089.790427
81	2084.985465
82	2079.766602
83	2069.772821
84	2062.533589
85	2055.522935
86	2047.720866
87	2040.967091
88	2037.690085
89	2033.976799
90	2027.986586
91	2023.377131
92	2019.688547
93	2014.537935
94	2008.918759
95	2005.29829
96	2001.13713
97	1997.975508
98	1991.50224
99	1987.906069
100	1981.453606
101	1977.806301
102	1973.562285
103	1969.401551
104	1965.959342
105	1962.014822
106	1958.844762
107	1954.002726
108	1951.426804
109	1948.591871
110	1946.202563
111	1942.232899
112	1939.859439
113	1935.088985
114	1932.651923
115	1930.479823
116	1926.146299
117	1922.737821
118	1920.758405
119	1917.90441
120	1913.921296
121	1912.355744
122	1907.786586
123	1906.0751
124	1902.160479
125	1899.733168
126	1898.464532
127	1896.090906
128	1894.172242
129	1891.452895
130	1890.209015
131	1887.261883
132	1885.142565
133	1882.387711
134	1879.079278
135	1875.692215
136	1873.889642
137	1871.896458
138	1870.619035
139	1869.098988
140	1866.901823
141	1865.446856
142	1863.473518
143	1860.852362
144	1858.949182
145	1855.547511
146	1852.547581
147	1847.986626
148	1846.394611
149	1844.187255
150	1842.050197
151	1841.126197
152	1838.835711
153	1836.279318
154	1833.558355
155	1830.728037
156	1828.362842
157	1826.643496
158	1825.29596
159	1823.42525
160	1819.71699
161	1818.162747
162	1815.994471
163	1814.350624
164	1813.078347
165	1812.001422
166	1810.035158
167	1808.204787
168	1806.496102
169	1805.658209
170	1803.990741
171	1802.40299
172	1800.371545
173	1799.117871
174	1798.304738
175	1796.689558
176	1792.812633
177	1790.984784
178	1789.926745
179	1788.571744
180	1785.911982
181	1783.970356
182	1781.830855
183	1778.380111
184	1776.866028
185	1775.227719
186	1773.755915
187	1772.110463
188	1770.465632
189	1768.259218
190	1766.884478
191	1765.536931
192	1764.728398
193	1763.345449
194	1761.495439
195	1760.370558
196	1758.237077
197	1756.523072
198	1753.664808
199	1752.174101
200	1750.905241
201	1749.736499
202	1748.76968
203	1746.859495
204	1745.884802
205	1744.747614
206	1742.464146
207	1741.652545
208	1740.430041
209	1739.047073
210	1737.583861
211	1736.792932
212	1734.955985
213	1733.223884
214	1732.24446
215	1731.722636
216	1730.953202
217	1730.004918
218	1728.657078
219	1726.758446
220	1725.77091
221	1722.183344
222	1721.361648
223	1720.134992
224	1719.07998
225	1717.935919
226	1717.385702
227	1714.35305
228	1712.00584
229	1711.486687
230	1710.12983
231	1709.168999
232	1708.12416
233	1707.137963
234	1705.443217
235	1704.828291
236	1704.222859
237	1702.129778
238	1701.371172
239	1700.58647
240	1699.167816
241	1698.689224
242	1697.211819
243	1695.58452
244	1694.588709
245	1693.543469
246	1693.255474
247	1692.740922
248	1691.412682
249	1690.185193
250	1689.298932
251	1688.750016
252	1688.465922
253	1688.05873
254	1686.961518
255	1685.743428
256	1684.785168
257	1683.630687
258	1681.804978
259	1681.087504
260	1679.61763
261	1678.627498
262	1677.782864
263	1676.559613
264	1676.107324
265	1675.393635
266	1673.295498
267	1672.698439
268	1671.884928
269	1671.013826
270	1670.467061
271	1669.693609
272	1669.115252
273	1666.117521
274	1665.124888
275	1664.126319
276	1663.615138
277	1662.400339
278	1661.756331
279	1661.126595
280	1660.452247
281	1659.392463
282	1657.862256
283	1656.300515
284	1655.48287
285	1654.583203
286	1654.052831
287	1653.231904
288	1652.765456
289	1651.50202
290	1649.683866
291	1648.959239
292	1648.511518
293	1645.689108
294	1644.926638
295	1644.358543
296	1643.207012
297	1641.480312
298	1640.95366
299	1639.812751
300	1638.879471
301	1638.068021
302	1636.725861
303	1636.158567
304	1635.102667
305	1634.576822
306	1633.668675
307	1632.421777
308	1631.625734
309	1631.161325
310	1630.536307
311	1629.988341
312	1628.87755
313	1628.420338
314	1626.529921
315	1625.799338
316	1625.160483
317	1623.956074
318	1623.510301
319	1622.00892
320	1621.102448
321	1620.177134
322	1618.841854
323	1617.985883
324	1616.921282
325	1615.846618
326	1615.644177
327	1614.080334
328	1613.113155
329	1612.434954
330	1611.671172
331	1610.958017
332	1609.613831
333	1609.115653
334	1607.36322
335	1606.99976
336	1606.517329
337	1605.986229
338	1605.67698
339	1605.094076
340	1604.060912
341	1603.315207
342	1601.612921
343	1600.610168
344	1600.196423
345	1599.692433
346	1599.382117
347	1598.332
348	1596.650825
349	1595.897659
350	1595.210556
351	1594.844087
352	1594.404001
353	1593.826947
354	1592.831782
355	1592.374142
356	1591.44469
357	1590.974092
358	1589.837099
359	1589.023665
360	1588.625036
361	1588.00724
362	1587.116518
363	1586.544779
364	1584.62976
365	1584.18673
366	1583.638274
367	1583.2127
368	1582.385852
369	1581.950821
370	1581.443023
371	1580.560098
372	1579.881174
373	1578.324245
374	1577.243293
375	1576.33892
376	1575.964398
377	1575.489505
378	1574.904412
379	1574.033117
380	1572.226008
381	1571.544107
382	1570.117433
383	1569.76519
384	1569.196843
385	1568.550187
386	1567.480332
387	1567.286852
388	1566.298799
389	1565.406351
390	1564.839276
391	1564.298786
392	1563.478199
393	1562.97794
394	1562.42801
395	1561.941234
396	1561.769527
397	1560.561352
398	1560.166662
399	1559.669867
400	1559.265403
401	1558.827599
402	1558.262405
403	1557.837204
404	1557.300787
405	1557.140596
406	1556.40312
407	1554.819845
408	1554.422875
409	1553.632631
410	1552.895316
411	1552.548007
412	1552.134218
413	1551.666193
414	1550.741177
415	1550.425691
416	1549.955892
417	1549.61735
418	1549.311004
419	1548.666789
420	1548.080866
421	1547.55452
422	1546.371999
423	1545.260709
424	1544.959649
425	1544.566435
426	1543.850729
427	1543.658638
428	1543.260723
429	1542.844601
430	1542.307688
431	1541.895296
432	1540.421523
433	1539.592133
434	1538.480348
435	1538.388888
436	1536.621623
437	1535.184533
438	1534.93125
439	1534.685964
440	1534.448083
441	1533.95309
442	1533.667158
443	1532.491557
444	1532.258557
445	1531.8263
446	1530.956926
447	1530.392468
448	1530.02907
449	1529.468406
450	1529.065912
451	1527.80894
452	1527.274323
453	1526.142912
454	1525.537994
455	1524.8662
456	1524.512583
457	1523.934951
458	1523.176205
459	1522.668804
460	1522.372876
461	1521.537675
462	1521.323637
463	1520.926462
464	1520.584471
465	1520.05279
466	1519.448448
467	1517.819231
468	1517.115689
469	1516.352507
470	1515.868551
471	1515.615728
472	1514.589671
473	1514.390498
474	1513.604565
475	1513.235038
476	1512.806211
477	1512.477787
478	1512.154622
479	1511.577148
480	1510.710333
481	1509.562459
482	1509.397626
483	1508.937372
484	1508.470114
485	1507.933731
486	1507.601034
487	1507.150077
488	1506.385634
489	1505.817434
490	1505.540291
491	1504.633204
492	1504.267561
493	1503.815881
494	1503.327503
495	1502.979662
496	1502.654467
497	1502.22638
498	1501.378227
499	1501.189239
500	1500.907373
501	1500.501948
502	1500.255932
503	1498.299388
504	1497.949728
505	1497.505043
506	1496.794111
507	1495.909811
508	1495.83313
509	1495.400266
510	1494.970308
511	1494.33023
512	1493.840216
513	1493.24123
514	1492.809716
515	1492.190833
516	1492.009119
517	1491.53578
518	1490.855637
519	1490.596819
520	1490.045973
521	1489.25956
522	1488.370367
